author_username,ctime,rating_star,comment
n*****.,2022-10-01 18:25:46,5,"I received my album in great condition! Took not more than 2 weeks to arrived. As a Rosé bias I'm soooo happy I got her photocard 😭!! Sadly, there's no Lisa 😔 Thank you for the gift too! This is my 4th album that I've bought from kpopmerch and as always great service!"
aliahfirdaus,2022-10-07 07:30:15,5,received my album in a really good condition with a vvvv secure packaging!!! the delivery was fast too !! thank you so muchh kpopmerchh 🥰
chloeang26,2022-10-12 08:44:00,5,"Amazing!
Super Fast delivery from Korea
I'm so happy with the packaging was in good condition when delivered to me.
Seller service good and responsive 
Btw, Love this album!!♥️🥰🥰🥰🎉
Born Pink🖤💕"
a*****n,2022-10-27 23:13:52,5,The albums came in great condition and without any damages! It was also safely bubble wrapped and ship out time was also fast. Thank you seller!
n*****e,2022-09-29 00:44:27,5,"Order: 25/8
Ship: 20/9
Receive: 28/9

Arrived in great condition, no dent & album packed securely with bubble wrap. Didn't expect the poster was that huge, thank god i choose rolled poster option. I got both Rose for YG Select POB. 1 group photo & 1 photocard (Lisa) from KPOP MERCH as freebies yayyy"
j*****m,2023-08-26 09:03:08,5,"Finally had my 1st albumn! Delivery super fast (6days reaching my house). Im so excited and love the cards so much! Item received in good condition, boxes no damage. Tested in my car, the CD songs work well. Im in love! 🥰💯💯💯"
m*****3,2022-11-09 21:23:48,5,Great album by Blackpink.Packaging is very nice as it didn’t damage at all during transiting time. Wrapped with bubble wrap to protect the album.Seller is friendly. Highly recommended. Thank you for the freebies!!
s*****i,2022-09-27 19:22:00,5,arrived yay! dah dapat lama dah act cuma baru sempat nak rate lol but as always from kpopmerch mmg service top! fast delivery 5 days dah sampai mcm selalu and package was packed very securely! but my rosie tak balik pun this comeback but sokay atleast i got my jennie bear!
bears.bujo,2022-12-09 17:30:23,5,"I really like it , thank you so much seller ！！my fav rose  and the pob ahhhhh too pretty 😭😭😭 and the bear outfit Jennie photocard are so cute 🥺 it only took 5 days from Korea arrive to Malaysia."
m*****i,2022-09-24 13:06:49,5,"The albums came in a fantastic condition. Bubble wrapped neatly. Although i changed my order during album release day, the seller was quick to post out my new order! Im satisfied!!! Btw, Fast delivery from korea to sarawak too 👍🏻"
b*****p,2022-09-25 14:35:58,5,Album arrived safely! The delivery is so fast thank you for shipping my order early! Got the pc of all members love it so much 😍 will definitely buy from kpopmerch again after this 👍🏻👍🏻
s*****i,2022-10-23 18:21:14,5,"Late review but i got albums only a little a week after it was out, which was quite fast considering other shops take at least 2 weeks! Very well packaged, reasonable price, albums are hanteo chart counted, truly never a disappointment so far!"
ree_ve,2022-09-25 14:48:46,5,The album and gift are received with good condition and it is wrapped by bubble wrap. Like the album very much and feel very satisfied with the album.
maziaazemi,2023-01-18 16:45:26,5,"Gila punya bagus service sellers. Order 13/1/23. Terima 17/1/23. 4 hari dari Korea. Service paling cemerlang!

Anak sangat puas hati & nak repeat order album yg lain pulak.
Layangg jelaaa asal x melalaikan sudaaa.

Apapun tenkiu seller. Barang sampai cepat & tiada kerosakkan 🌸"
